Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.05.03 7:30;787.13 Mbps;79%;331.30 Mbps;110%;2 msec.;1
2023.05.03 8:30;806.85 Mbps;81%;331.47 Mbps;110%;2 msec.;1
2023.05.03 9:30;792.74 Mbps;79%;331.46 Mbps;110%;2 msec.;1
2023.05.03 10:30;794.66 Mbps;79%;331.64 Mbps;111%;2 msec.;1
2023.05.03 11:30;798.78 Mbps;80%;331.15 Mbps;110%;3 msec.;1
2023.05.03 12:30;792.97 Mbps;79%;331.37 Mbps;110%;2 msec.;1
2023.05.03 13:30;795.67 Mbps;80%;331.75 Mbps;111%;2 msec.;1
2023.05.03 14:30;801.22 Mbps;80%;331.57 Mbps;111%;2 msec.;1
2023.05.03 15:30;804.68 Mbps;80%;331.62 Mbps;111%;2 msec.;1
2023.05.03 16:30;796.02 Mbps;80%;331.49 Mbps;110%;2 msec.;1
2023.05.03 17:30;798.28 Mbps;80%;331.31 Mbps;110%;2 msec.;1
2023.05.03 18:30;807.12 Mbps;81%;331.51 Mbps;111%;2 msec.;1
2023.05.03 19:30;797.10 Mbps;80%;331.48 Mbps;110%;2 msec.;1
2023.05.03 20:30;796.64 Mbps;80%;331.28 Mbps;110%;2 msec.;1
2023.05.03 21:30;804.26 Mbps;80%;331.66 Mbps;111%;2 msec.;1
2023.05.03 22:30;807.13 Mbps;81%;331.46 Mbps;110%;2 msec.;1
2023.05.03 23:30;782.65 Mbps;78%;331.49 Mbps;110%;2 msec.;1
2023.05.04 0:30;777.77 Mbps;78%;331.72 Mbps;111%;2 msec.;1
2023.05.04 1:30;796.47 Mbps;80%;331.71 Mbps;111%;2 msec.;1
2023.05.04 2:30;800.75 Mbps;80%;331.73 Mbps;111%;2 msec.;1
2023.05.04 3:30;792.67 Mbps;79%;331.50 Mbps;111%;2 msec.;1
2023.05.04 4:30;786.42 Mbps;79%;331.42 Mbps;110%;2 msec.;1
2023.05.04 5:30;798.50 Mbps;80%;331.58 Mbps;111%;2 msec.;1
2023.05.04 6:30;793.99 Mbps;79%;331.57 Mbps;111%;2 msec.;1
2023.05.04 7:30;795.72 Mbps;80%;331.47 Mbps;110%;2 msec.;1
2023.05.04 8:30;805.43 Mbps;81%;331.70 Mbps;111%;2 msec.;1
2023.05.04 9:30;785.71 Mbps;79%;331.67 Mbps;111%;2 msec.;1
2023.05.04 10:30;796.74 Mbps;80%;331.68 Mbps;111%;2 msec.;1
2023.05.04 11:30;799.75 Mbps;80%;331.11 Mbps;110%;2 msec.;1
2023.05.04 12:30;806.35 Mbps;81%;331.38 Mbps;110%;2 msec.;1
2023.05.04 13:30;834.54 Mbps;83%;331.31 Mbps;110%;2 msec.;1
2023.05.04 14:30;803.37 Mbps;80%;331.37 Mbps;110%;2 msec.;1
2023.05.04 15:30;798.86 Mbps;80%;331.52 Mbps;111%;2 msec.;1
2023.05.04 16:30;802.77 Mbps;80%;330.92 Mbps;110%;2 msec.;1
2023.05.04 17:30;795.33 Mbps;80%;331.43 Mbps;110%;2 msec.;1
2023.05.04 18:30;805.91 Mbps;81%;331.26 Mbps;110%;2 msec.;1
2023.05.04 19:30;792.99 Mbps;79%;331.43 Mbps;110%;2 msec.;1
